iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
IND,India,29-03-2020,979,106,25,6,0.709,0.077,0.018,0.004,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,30-03-2020,1071,92,29,4,0.776,0.067,0.021,0.003,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,31-03-2020,1251,180,32,3,0.907,0.13,0.023,0.002,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,01-04-2020,1397,146,35,3,1.012,0.106,0.025,0.002,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,02-04-2020,1965,568,50,15,1.424,0.412,0.036,0.011,47951,,0.035,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,03-04-2020,2301,336,56,6,1.667,0.243,0.041,0.004,69245,21294,0.05,0.015,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,04-04-2020,2902,601,68,12,2.103,0.436,0.049,0.009,79950,10705,0.058,0.008,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,05-04-2020,3374,472,77,9,2.445,0.342,0.056,0.007,89534,9584,0.065,0.007,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,06-04-2020,4067,693,109,32,2.947,0.502,0.079,0.023,101068,11534,0.073,0.008,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,07-04-2020,4421,354,114,5,3.204,0.257,0.083,0.004,114015,12947,0.083,0.009,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
